notebook,zone,archived,cell_index,section,title,xlabel,ylabel,recipe,gallery_category,gallery_chart,has_fit,has_log_axis,is_grid,color_by_third_var,rendered_png_outputs
notebooks/analysis/absorption/ETAD_Aug13.ipynb,notebooks/analysis,False,49,11. Method Agreement Analysis: Aethalometer vs HIPS vs FTIR-EC,Red Wavelength Comparison,Aethalometer Red Babs (625nm) [Mm⁻¹],HIPS Fabs (633nm) [Mm⁻¹],plot+scatter,correlation,Scatterplot,True,False,False,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,8,3. Analysis Functions,,Date,,plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,26,9. Time Series Analysis,Normalized FTIR EC vs BCc Time Series,Date,Normalized Concentration,plot,evolution,Timeseries,False,False,False,False,2
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,29,9.5. Iron-Coded BCc vs FTIR EC Analysis,,,,plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,32,9.5. Iron-Coded BCc vs FTIR EC Analysis,,,Iron (ng/m³),plot,evolution,Timeseries,False,False,False,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,35,9.6. Seasonal MAC Analysis,MAC by Ethiopian Season,Season,MAC (m²/g),boxplot+scatter,correlation,Scatterplot,False,False,False,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,41,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,MAC by Ethiopian Season (Outliers Removed),Season,MAC (m²/g),boxplot,distribution,Boxplot,False,False,False,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,42,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,{season} - MAC Time Series,Date,MAC (m²/g),scatter,correlation,Scatterplot,False,False,True,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,44,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,MAC by Ethiopian Season (Outliers Removed),Season,MAC (m²/g),boxplot,distribution,Boxplot,False,False,False,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,45,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,MAC Time Series by Season{title_suffix},Date,MAC (m²/g),scatter,correlation,Scatterplot,False,False,False,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,46,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,"Aethalometer MAC Time Series with Individual Seasonal Instance Averages\n(MAC = IR Babs / FTIR EC, Outliers Removed)",Date,Aethalometer MAC (m²/g),scatter,correlation,Scatterplot,False,False,False,False,1
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,48,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,Aethalometer MAC Methods - Physical Constraint Check\nDashed Line = Has Intercept Issue,FTIR EC (μg/m³),IR Babs Equivalent (Mm⁻¹),bar+fill_between+plot+scatter,correlation,Scatterplot,True,False,True,False,2
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,49,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,Aethalometer MAC Methods - Physical Constraint Check\nDashed Line = Has Intercept Issue,FTIR EC (μg/m³),IR Babs Equivalent (Mm⁻¹),fill_between+plot+scatter,correlation,Scatterplot,True,False,False,False,2
notebooks/analysis/absorption/ETAD_comprehensive_absorption_analysis.ipynb,notebooks/analysis,False,50,10.5. MAC Outlier Analysis and Improved Seasonal Visualization,EC vs HIPS Fabs by Ethiopian Season\nIndividual Regression Lines,FTIR EC (μg/m³),HIPS Fabs (Mm⁻¹),fill_between+plot+scatter,correlation,Scatterplot,True,False,False,False,2
notebooks/analysis/absorption/warren_ratio_diagnostics.ipynb,notebooks/analysis,False,16,6. Create Warren-Style Diagnostic Plots,HIPS Warren-Style Ratio Diagnostic,Fe/EC Ratio,F_abs/EC (Mm⁻¹/(μg/m³)),plot+scatter,correlation,Scatterplot,True,False,False,False,1
notebooks/analysis/absorption/warren_ratio_diagnostics.ipynb,notebooks/analysis,False,18,6a. Classic Cross-Plots (EC vs Absorption),HIPS: EC vs F_abs,EC (µg m⁻³),F_abs (Mm⁻¹),plot+scatter,correlation,Scatterplot,True,False,False,False,1
notebooks/analysis/data_availability/filter_data_availability_strip_chart.ipynb,notebooks/analysis,False,8,Filter Data Availability Strip Chart,{site_label} Sample-Day Availability,Sample Date,,scatter,correlation,Scatterplot,False,False,False,False,4
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,4,Slide 5: Multi-Wavelength Diurnal Overlay,Median Diurnal BC by Wavelength ({label})\n(shading = IQR),Hour of Day (local),BC concentration (ug/m3),fill_between+plot,evolution,Area chart,False,False,False,False,0
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,6,Slide 6: Wavelength / IR Ratios (Spectral Shape),Diurnal Spectral Shape\n(>1 = enhanced short-wave absorption),Hour of Day (local),BC wavelength / IR BCc ratio,fill_between+plot,evolution,Area chart,False,False,False,False,0
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,8,Slide 7: AAE Diurnal (TRUE AAE = apparent + 1),True AAE Diurnal Pattern\n(MA350 apparent AAE + 1.0 correction),Hour of Day (local),Absorption Angstrom Exponent (true),boxplot+fill_between+plot,distribution,Boxplot,False,False,False,False,0
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,9,Slide 7: AAE Diurnal (TRUE AAE = apparent + 1),Delta-C Diurnal Pattern\n(positive = biomass burning signal),Hour of Day (local),"Delta-C (UV - IR BCc, ug/m3)",fill_between+plot,evolution,Area chart,False,False,False,False,0
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,10,Slide 7: AAE Diurnal (TRUE AAE = apparent + 1),Wavelength Spread (CV) by Hour\n(higher = wavelengths more different),Hour of Day (local),CV across 5 wavelengths,fill_between+plot,evolution,Area chart,False,False,False,False,0
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,11,Slide 7: AAE Diurnal (TRUE AAE = apparent + 1),{season}\n(absolute BC),Hour,BC (ug/m3),plot,evolution,Timeseries,False,False,True,False,0
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,12,Slide 7: AAE Diurnal (TRUE AAE = apparent + 1),"{day} -- {desc} (CV={daily_cv[day]:.2f}, {season})",Time of Day (local),BC (ug/m3),plot,evolution,Timeseries,False,False,True,False,0
notebooks/analysis/diurnal_pub_figures.ipynb,notebooks/analysis,False,13,Slide 7: AAE Diurnal (TRUE AAE = apparent + 1),Diurnal Amplification by Wavelength\n(1.0 = daily average),Hour of Day,Ratio to daily median,imshow+plot,correlation,Heatmap,False,False,False,True,0
notebooks/analysis/iron_correction_test.ipynb,notebooks/analysis,False,8,Test 3: Subtract Iron Absorption → Check Corrected F_abs vs EC,(a) Slope vs Iron correction factor k,k (Mm-1 per ug/m3 Iron),Recovered slope (m2/g),plot,evolution,Line chart,True,False,False,False,0
notebooks/analysis/iron_correction_test.ipynb,notebooks/analysis,False,10,Test 4: Before/After Scatter Plots — The Key Figure,Iron Correction: Does subtracting iron absorption recover MAC = 10 m$^2$/g?,FTIR EC (ug/m3),F$_{abs}$ (Mm$^{-1}$),plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/iron_correction_test.ipynb,notebooks/analysis,False,14,Test 6: Residual Analysis — What Remains After Iron Correction?,(a) Residual vs Iron\n(should be flat if iron fully explains),Iron (ug/m3),Residual (Mm-1),boxplot+scatter,correlation,Scatterplot,False,False,False,False,0
notebooks/analysis/meteorology/Seasonalclass.ipynb,notebooks/analysis,False,0,,Daily Precipitation in 2023 with Paper\,Date,Precipitation (mm),bar+plot,ranking,Barplot,False,False,True,False,0
notebooks/analysis/meteorology/Seasonalclass.ipynb,notebooks/analysis,False,1,,Precipitation Patterns: Dec 2022 - Oct 2024\nApplying 2023 Seasonal Boundaries,Date,Daily Precipitation (mm),bar+plot,ranking,Barplot,False,False,False,False,0
notebooks/analysis/meteorology/Seasonalclass.ipynb,notebooks/analysis,False,3,,Paper\,Date (2023),Daily Precipitation (mm),bar+plot,ranking,Barplot,False,False,True,False,0
notebooks/analysis/meteorology/Seasonalclass.ipynb,notebooks/analysis,False,4,,Paper\,Date (2023),Daily Precipitation (mm),bar+plot,ranking,Barplot,False,False,True,False,0
notebooks/analysis/meteorology/Seasonalclass.ipynb,notebooks/analysis,False,5,,Paper\,Season,Average Daily Precipitation (mm),bar,ranking,Barplot,False,False,False,False,0
notebooks/analysis/meteorology/Seasonalclass.ipynb,notebooks/analysis,False,6,,Precipitation Patterns: Dec 2022 - Oct 2024\nPaper\,Date,Daily Precipitation (mm),bar+plot+scatter,correlation,Connected Scatter,False,False,False,False,0
notebooks/analysis/meteorology/Seasonalclass.ipynb,notebooks/analysis,False,7,,Precipitation During Filter Sampling Periods\n(Green lines = Filter sampling dates),Date,Daily Precipitation (mm),bar+plot,ranking,Barplot,False,False,True,False,0
notebooks/analysis/meteorology/addis_hips_two_problem_decomposition.ipynb,notebooks/analysis,False,4,Section 1: The Raw Problem,HIPS BC vs FTIR EC,FTIR EC (ug/m\u00b3),HIPS BC (ug/m\u00b3),hist+plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/addis_hips_two_problem_decomposition.ipynb,notebooks/analysis,False,7,Section 2: Baseline Subtraction — What Goes Negative?,Negative Points on Original Scatter,FTIR EC (ug/m\u00b3),HIPS BC (ug/m\u00b3),boxplot+hist+plot+scatter,correlation,Bubble,True,False,True,True,0
notebooks/analysis/meteorology/addis_hips_two_problem_decomposition.ipynb,notebooks/analysis,False,10,Section 3: Strategies for Handling Negative Values,Strategy Comparison,FTIR EC (ug/m\u00b3),Corrected HIPS BC,plot+scatter,correlation,Bubble,True,False,True,True,0
notebooks/analysis/meteorology/addis_hips_two_problem_decomposition.ipynb,notebooks/analysis,False,13,Section 4: Filter Loading / Saturation — Why Is the Slope 0.40?,Slope vs EC Level (window={window_size}),FTIR EC Window Center (ug/m\u00b3),Local Regression Slope,fill_between+plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/addis_hips_two_problem_decomposition.ipynb,notebooks/analysis,False,16,Section 5: Two-Parameter Correction with Negative-Value Handling,Original (both problems present),FTIR EC (ug/m\u00b3),HIPS BC (ug/m\u00b3),plot+scatter,correlation,Bubble,True,False,True,True,0
notebooks/analysis/meteorology/addis_hips_two_problem_decomposition.ipynb,notebooks/analysis,False,18,Section 6: Validation Against Aethalometer,Original HIPS vs Aethalometer,Aeth IR BCc (ug/m\u00b3),HIPS BC (ug/m\u00b3),plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,11,1. Diurnal Decoupling — The Headline Finding,{season} (insufficient data),Hour (local time),Surface BC (µg/m³),fill_between+plot,evolution,Area chart,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,13,2. BC/AOD Ratio — Boundary Layer Depth Proxy,BC-to-AOD Ratio Diurnal Cycle\n(higher = more surface-confined),Hour (local time),BC / AOD$_{500}$ ratio,boxplot+fill_between+plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,16,3. Filter Data × AERONET — Connecting 24h Averages to the Column,{label.split(,,AOD 500nm,scatter,correlation,Scatterplot,False,False,True,False,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,18,4. Dust Interference Null Result,HIPS-FTIR Discrepancy vs Dust\n(negative r = dust NOT the cause),Coarse Mode AOD 500nm (dust proxy),HIPS EC / FTIR EC,plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,20,5. Kiremt Coarse Mode Anomaly,Fine & Coarse Mode AOD Time Series\n(blue shading = Kiremt rainy season),Date,AOD 500nm,bar+plot,ranking,Barplot,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,21,5. Kiremt Coarse Mode Anomaly,HIPS-FTIR Discrepancy by Season,Precipitable Water (cm),HIPS EC / FTIR EC,boxplot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,23,6. AAE Data Quality Check,BC Ratio Distribution\n(>1 means IR > UV → negative AAE),IR BCc / UV BCc,Density,hist+plot,distribution,Histogram,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_deep_dive.ipynb,notebooks/analysis,False,27,7. Regime Synthesis — FMF × BC × Filter Data,Regime Quadrants by Season,BC (µg/m³),Fine Mode Fraction,boxplot+plot+scatter,correlation,Connected Scatter,False,False,True,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,15,Experiment 2: Diurnal Decoupling — Boundary Layer Trapping Signal,"{season} (n={len(sdata)}, insufficient data)",Hour (local),BC (µg/m³),errorbar,ranking,Lollipop,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,16,Experiment 2: Diurnal Decoupling — Boundary Layer Trapping Signal,BC-to-AOD Ratio Diurnal Cycle\n(higher = more surface-confined),Hour (local),BC / AOD_500nm ratio,boxplot+plot,distribution,Boxplot,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,17,Experiment 2: Diurnal Decoupling — Boundary Layer Trapping Signal,{season},BC (µg/m³),AOD 500nm,plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,19,Experiment 3: Coarse Mode AOD as Dust Proxy,Fine vs Coarse Mode AOD,Fine Mode AOD 500nm,Coarse Mode AOD 500nm,boxplot+plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,21,Experiment 3: Coarse Mode AOD as Dust Proxy,HIPS-FTIR Discrepancy vs\nColumnar Dust Loading,Coarse Mode AOD 500nm,HIPS EC / FTIR EC ratio,scatter,correlation,Scatterplot,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,23,Experiment 4: Surface AAE vs Columnar AE — Source Type Consistency,Surface vs Columnar Angstrom,Columnar AE (440-870nm),Surface AAE (375-880nm),boxplot+plot+scatter,correlation,Connected Scatter,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,26,Experiment 5: Fine Mode Fraction × BC Regime Analysis,BC vs FMF by Season\n(quadrants = regimes),BC (µg/m³),Fine Mode Fraction (500nm),boxplot+plot+scatter,correlation,Connected Scatter,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_addis_diagnostics.ipynb,notebooks/analysis,False,29,Experiment 6: Temporal Variability — Does the Surface Track the Column?,Do surface and column\nvary together within days?,AOD intra-day CV,BC intra-day CV,bar+plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,10,1. Dual MAC: HIPS vs Aethalometer,{mac_label.split(,Precipitable Water (cm),Effective MAC (m²/g),plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,11,1. Dual MAC: HIPS vs Aethalometer,{mac_label} by PW Tercile,Precipitable Water Tercile,{mac_label} (m²/g),boxplot+scatter,correlation,Scatterplot,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,15,2. HIPS Residual vs Coarse-Mode Regime,HIPS Residual vs {description},,HIPS Residual (1/Mm),plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,17,3. Compression by AOD Terciles,HIPS Fabs vs FTIR EC by AOD Tercile\n(slope = MAC),FTIR EC (µg/m³),HIPS Fabs (1/Mm),bar+hist+plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,18,3. Compression by AOD Terciles,Variance Ratio by Season\n(<1 = HIPS compressed),,Var(HIPS EC) / Var(FTIR EC),bar,ranking,Barplot,False,False,False,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,22,4. Daytime (10–14h) vs 24h Representativeness,{bc_label} vs FTIR EC,FTIR EC (µg/m³),{bc_label} (µg/m³),plot+scatter,correlation,Scatterplot,True,False,True,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,24,4. Daytime (10–14h) vs 24h Representativeness,MAC vs {pw_label},,MAC$_{HIPS}$ (m²/g),plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/aeronet_method_agreement.ipynb,notebooks/analysis,False,26,5. Synthesis: Three Paper-Ready Plots,(A) MAC Tracks Column Moisture,AERONET Precipitable Water (cm),MAC$_{HIPS}$ (m²/g),plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,10,Section 1: PMF Replication — KF-Based Source Fractions,Figure 7 Replication: Daily Source Fractions (KF-based),,Source Fraction (KF-based),bar,ranking,Barplot,False,False,True,False,1
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,13,Section 2: Source Concentration Time Series (KF µg/m³),Source Contributions by Concentration (KF µg/m³),,Source Concentration (µg/m³),bar,ranking,Barplot,False,False,True,False,1
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,15,Section 3: Source Grouping — Combined vs Separate,Original 5 Sources (KF),,Number of Samples,bar,ranking,Barplot,False,False,False,False,1
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,17,Section 4: Cross-Plots by Source Type with Slopes,,,,plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,21,Section 4: Cross-Plots by Source Type with Slopes,{info[,,,plot,evolution,Line chart,True,False,False,False,3
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,24,Section 5: Threshold Analysis with Grouped Categories,{info[,,,plot,evolution,Line chart,True,False,False,False,3
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,25,Section 5: Threshold Analysis with Grouped Categories,{info[,,,plot,evolution,Line chart,True,False,False,False,3
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,28,Section 6: Seasonal Write-Up — Concentration Patterns,Separate Sources,,Mean Concentration (µg/m³),bar,ranking,Barplot,False,False,False,False,1
notebooks/analysis/meteorology/friday_summary_consolidated.ipynb,notebooks/analysis,False,29,Section 6: Seasonal Write-Up — Concentration Patterns,Dominant Source by Season (Separate),,% of Samples,plot,evolution,Timeseries,False,False,False,False,1
notebooks/analysis/meteorology/hips_ftir_intercept_rh_recursive_diagnostics.ipynb,notebooks/analysis,False,3,Plan,Overall HIPS vs FTIR,FTIR EC (\u00b5g/m\u00b3),HIPS Fabs/MAC (\u00b5g/m\u00b3),plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,4,Section 1: Baseline Regressions — Characterize the Intercept,{y_label.split(,,,plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,7,Section 2: Residual Decomposition by Chemical Species,Correlation of Regression Residuals with Chemical Species\n,Method Pairing,Chemical Species,heatmap,correlation,Correlogram,True,False,False,True,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,9,Section 3: Iron / Mineral Dust Interference,HIPS Excess vs {label},{label} (\u00b5g/m\u00b3),HIPS BC \u2212 FTIR EC (\u00b5g/m\u00b3),plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,11,Section 4: Brown Carbon (OC / OM / Functional Groups),Does Organic Matter / Brown Carbon Inflate HIPS Relative to FTIR EC?,{label} (\u00b5g/m\u00b3),HIPS BC \u2212 FTIR EC,plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,13,Section 5: Bland-Altman Bias Analysis,Bland-Altman: {y_short} vs {x_short},Mean of {x_short} & {y_short} (\u00b5g/m\u00b3),{y_short} \u2212 {x_short} (\u00b5g/m\u00b3),plot+scatter,correlation,Scatterplot,True,False,False,False,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,15,Section 6: Leverage & Influential Sample Analysis,Residuals vs Leverage,Leverage,Standardized Residual,bar+plot+scatter,correlation,Bubble,True,False,False,True,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,16,Section 6: Leverage & Influential Sample Analysis,Chemical Enrichment in Influential Samples (p < 0.10),Ratio \u2212 1 (positive = higher in influential samples),,barh,ranking,Barplot,False,False,False,False,0
notebooks/analysis/meteorology/hips_intercept_investigation.ipynb,notebooks/analysis,False,19,"Section 7: HIPS Dynamic Range Compression — The ""Floor"" Effect",Dynamic Range Comparison,Concentration (\u00b5g/m\u00b3),Count,hist+plot+scatter,correlation,Bubble,True,False,False,True,0
